Neighbourhood,Latitude,Longitude,VenueName,VenueLatitude,VenueLongitude,VenueCategory
Agon,28.462190000000078,77.02373000000007,Bikanerwala,28.469620334659687,77.03628259892638,Indian Restaurant
Agon,28.462190000000078,77.02373000000007,The Monk,28.463142122986653,77.04903695574885,Chinese Restaurant
Agon,28.462190000000078,77.02373000000007,Dunkin',28.44336954748533,77.05596712975918,Donut Shop
Agon,28.462190000000078,77.02373000000007,Swagath Restaurant & Bar,28.46998340735945,77.06293189971409,Indian Restaurant
Agon,28.462190000000078,77.02373000000007,21 Gun Salute,28.468322781634438,77.06317428587096,Indian Restaurant
Agon,28.462190000000078,77.02373000000007,McDonald's,28.466848171643218,77.02652137417243,Fast Food Restaurant
Agon,28.462190000000078,77.02373000000007,Subway,28.45417068984416,77.05136099853962,Sandwich Place
Agon,28.462190000000078,77.02373000000007,Om Sweets,28.4736156184153,77.04798828192092,Indian Restaurant
Agon,28.462190000000078,77.02373000000007,Mamagoto,28.467691442926334,77.06413271506175,Thai Restaurant
Agon,28.462190000000078,77.02373000000007,Dana Choga,28.482303223839725,77.04953618403329,Indian Restaurant
Agon,28.462190000000078,77.02373000000007,"Brix, Street Bar & Rock Cafe",28.46822143501739,77.06270429940967,Diner
Agon,28.462190000000078,77.02373000000007,Domino's Pizza,28.476,77.009,Pizza Place
Agon,28.462190000000078,77.02373000000007,Om Sweets & Snacks,28.452976988997865,77.05055472219098,Indian Sweet Shop
Agon,28.462190000000078,77.02373000000007,Wild Fire,28.46832048994275,77.05964223659062,Brazilian Restaurant
Agon,28.462190000000078,77.02373000000007,Cafe Coffee Day,28.458393664628467,77.04398926972719,Café
Agon,28.462190000000078,77.02373000000007,Karim's,28.480103829990387,77.04770522644316,Mughlai Restaurant
Agon,28.462190000000078,77.02373000000007,Bikanervala,28.468819157118112,77.06346197645392,Indian Restaurant
Agon,28.462190000000078,77.02373000000007,Harish BAKERY,28.472280247698087,77.01826082889609,Bakery
Agon,28.462190000000078,77.02373000000007,Fruit Forest,28.468750945783167,77.0635486907545,Deli / Bodega
Agon,28.462190000000078,77.02373000000007,궁 Gung The Palace,28.468465070782482,77.06249103944215,Korean Restaurant
Agon,28.462190000000078,77.02373000000007,Cafe Coffee Day (CCD),28.468912479214254,77.06218041661162,Café
Agon,28.462190000000078,77.02373000000007,Starbucks,28.468578687113126,77.06321190246996,Coffee Shop
Agon,28.462190000000078,77.02373000000007,Café G,28.46833079550173,77.05957529891124,Indian Restaurant
Agon,28.462190000000078,77.02373000000007,Barista,28.466812232589188,77.05821998600106,Café
Agon,28.462190000000078,77.02373000000007,Bombay Best Pao Bhaji,28.47392400721306,77.01042150617766,Food Truck
Agon,28.462190000000078,77.02373000000007,Cafe Coffee Day (CCD),28.47826211194333,77.04645969831232,Coffee Shop
Agon,28.462190000000078,77.02373000000007,Domino's Pizza,28.473107054408977,77.06074460977683,Pizza Place
Agon,28.462190000000078,77.02373000000007,McDonald's,28.468322905284253,77.0631954113615,Fast Food Restaurant
Agon,28.462190000000078,77.02373000000007,Domino's Pizza,28.443122885121074,77.05529532508407,Pizza Place
Agon,28.462190000000078,77.02373000000007,Cafe Coffee Day,28.459787604450966,77.0522689819336,Coffee Shop
Agon,28.462190000000078,77.02373000000007,Cafe Coffee Day,28.443508602034516,77.05589801073074,Café
Agon,28.462190000000078,77.02373000000007,Costa Coffee,28.443533221540356,77.05606690279288,Café
Agon,28.462190000000078,77.02373000000007,Wendy’s,28.469318,77.062834,Fast Food Restaurant
Agon,28.462190000000078,77.02373000000007,Oberoi Biryani,28.482318,77.049134,Indian Restaurant
Agon,28.462190000000078,77.02373000000007,The Tea Room Co,28.461616091765865,77.05235913328558,Tea Room
Agon,28.462190000000078,77.02373000000007,Domino's Pizza,28.47395463713842,77.04769238401109,Pizza Place
Agon,28.462190000000078,77.02373000000007,Sagar Ratna,28.468502324570412,77.06293946300576,Indian Restaurant
Agon,28.462190000000078,77.02373000000007,Costa Coffee,28.440988185641302,77.05622993132609,Coffee Shop
Agon,28.462190000000078,77.02373000000007,Costa Coffee,28.439859173258633,77.04410338034477,Coffee Shop
Agon,28.462190000000078,77.02373000000007,The Coffee Bean and Tea Leaf,28.46860239758352,77.06267781408027,Café
Agon,28.462190000000078,77.02373000000007,Barista Coffee,28.445053379304348,77.0582882479732,Coffee Shop
Agon,28.462190000000078,77.02373000000007,Bakers Oven,28.453104459345635,77.05058727875358,Bakery
Agon,28.462190000000078,77.02373000000007,Cafe Coffee Day (CCD),28.453252855897027,77.05054049699841,Café
Agon,28.462190000000078,77.02373000000007,Yo china,28.46854038406387,77.06351712482773,Chinese Restaurant
Agon,28.462190000000078,77.02373000000007,Pizza Hut,28.443448550038113,77.056098077495,Pizza Place
Agon,28.462190000000078,77.02373000000007,Pizza Hut,28.468861464980392,77.0621988724965,Pizza Place
Agon,28.462190000000078,77.02373000000007,Cooper's Grill & Bar,28.460470460685645,77.05144449810592,Restaurant
Agon,28.462190000000078,77.02373000000007,Mainland China,28.468691066718872,77.06240423447116,Chinese Restaurant
Agon,28.462190000000078,77.02373000000007,Cafe Gartino,28.469600677490234,77.06270599365234,Café
Agon,28.462190000000078,77.02373000000007,Gulab Restaurant,28.472236922481688,77.05257687172768,Dessert Shop
